dataset,fname,label,sublabel,source,Unnamed: 4,filepath,duration
a,murmur__201108222221.wav,murmur,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/murmur__201108222221.wav,7.935555555555555
a,murmur__201108222223.wav,murmur,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/murmur__201108222223.wav,7.935555555555555
a,murmur__201108222224.wav,murmur,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/murmur__201108222224.wav,7.935555555555555
a,murmur__201108222226.wav,murmur,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/murmur__201108222226.wav,7.935555555555555
a,murmur__201108222227.wav,murmur,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/murmur__201108222227.wav,7.935555555555555
a,murmur__201108222231.wav,murmur,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/murmur__201108222231.wav,7.935555555555555
a,murmur__201108222232.wav,murmur,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/murmur__201108222232.wav,7.935555555555555
a,murmur__201108222233.wav,murmur,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/murmur__201108222233.wav,7.935555555555555
a,murmur__201108222235.wav,murmur,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/murmur__201108222235.wav,7.935555555555555
a,murmur__201108222236.wav,murmur,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/murmur__201108222236.wav,7.935555555555555
a,murmur__201108222237.wav,murmur,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/murmur__201108222237.wav,7.935555555555555
a,murmur__201108222238.wav,murmur,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/murmur__201108222238.wav,7.935555555555555
a,murmur__201108222242.wav,murmur,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/murmur__201108222242.wav,7.935555555555555
a,murmur__201108222243.wav,murmur,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/murmur__201108222243.wav,7.935555555555555
a,murmur__201108222245.wav,murmur,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/murmur__201108222245.wav,7.935555555555555
a,murmur__201108222246.wav,murmur,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/murmur__201108222246.wav,7.935555555555555
a,murmur__201108222248.wav,murmur,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/murmur__201108222248.wav,7.935555555555555
a,murmur__201108222251.wav,murmur,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/murmur__201108222251.wav,7.935555555555555
a,murmur__201108222252.wav,murmur,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/murmur__201108222252.wav,7.935555555555555
a,murmur__201108222253.wav,murmur,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/murmur__201108222253.wav,7.935555555555555
a,murmur__201108222255.wav,murmur,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/murmur__201108222255.wav,7.935555555555555
a,murmur__201108222256.wav,murmur,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/murmur__201108222256.wav,7.935555555555555
a,murmur__201108222258.wav,murmur,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/murmur__201108222258.wav,7.935555555555555
a,normal__201101070538.wav,normal,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/normal__201101070538.wav,8.8840589569161
a,normal__201101151127.wav,normal,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/normal__201101151127.wav,9.0
a,normal__201102081152.wav,normal,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/normal__201102081152.wav,7.14485260770975
a,normal__201102081321.wav,normal,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/normal__201102081321.wav,7.888571428571429
a,normal__201102201230.wav,normal,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/normal__201102201230.wav,9.0
a,normal__201102260502.wav,normal,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/normal__201102260502.wav,6.284126984126984
a,normal__201102270940.wav,normal,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/normal__201102270940.wav,9.0
a,normal__201103090635.wav,normal,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/normal__201103090635.wav,8.01392290249433
a,normal__201103101140.wav,normal,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/normal__201103101140.wav,9.0
a,normal__201103140132.wav,normal,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/normal__201103140132.wav,9.0
a,normal__201103140135.wav,normal,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/normal__201103140135.wav,7.947074829931973
a,normal__201103140822.wav,normal,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/normal__201103140822.wav,8.01392290249433
a,normal__201103151912.wav,normal,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/normal__201103151912.wav,9.0
a,normal__201103170121.wav,normal,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/normal__201103170121.wav,8.03063492063492
a,normal__201103221214.wav,normal,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/normal__201103221214.wav,3.4634240362811792
a,normal__201104122156.wav,normal,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/normal__201104122156.wav,9.0
a,normal__201104141251.wav,normal,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/normal__201104141251.wav,7.637891156462585
a,normal__201105011626.wav,normal,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/normal__201105011626.wav,9.0
a,normal__201105021654.wav,normal,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/normal__201105021654.wav,7.997210884353741
a,normal__201105021804.wav,normal,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/normal__201105021804.wav,9.0
a,normal__201105151450.wav,normal,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/normal__201105151450.wav,7.537596371882086
a,normal__201106111136.wav,normal,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/normal__201106111136.wav,4.963786848072562
a,normal__201106141148.wav,normal,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/normal__201106141148.wav,5.749297052154195
a,normal__201106151236.wav,normal,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/normal__201106151236.wav,7.771587301587301
a,normal__201106210943.wav,normal,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/normal__201106210943.wav,5.849591836734694
a,normal__201106221418.wav,normal,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/normal__201106221418.wav,7.002789115646259
a,normal__201106221450.wav,normal,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/normal__201106221450.wav,9.0
a,normal__201108011112.wav,normal,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/normal__201108011112.wav,7.935555555555555
a,normal__201108011114.wav,normal,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/normal__201108011114.wav,7.935555555555555
a,normal__201108011115.wav,normal,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/normal__201108011115.wav,7.935555555555555
a,normal__201108011118.wav,normal,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/normal__201108011118.wav,7.935555555555555
a,Aunlabelledtest__201012172010.wav,Aunlabelledtest,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/Aunlabelledtest__201012172010.wav,9.0
a,Aunlabelledtest__201101051105.wav,Aunlabelledtest,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/Aunlabelledtest__201101051105.wav,7.8859410430839
a,Aunlabelledtest__201101061552.wav,Aunlabelledtest,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/Aunlabelledtest__201101061552.wav,5.974920634920635
a,Aunlabelledtest__201101091156.wav,Aunlabelledtest,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/Aunlabelledtest__201101091156.wav,9.0
a,Aunlabelledtest__201101110659.wav,Aunlabelledtest,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/Aunlabelledtest__201101110659.wav,7.571020408163266
a,Aunlabelledtest__201101152256.wav,Aunlabelledtest,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/Aunlabelledtest__201101152256.wav,7.861201814058957
a,Aunlabelledtest__201101220549.wav,Aunlabelledtest,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/Aunlabelledtest__201101220549.wav,9.0
a,Aunlabelledtest__201101241434.wav,Aunlabelledtest,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/Aunlabelledtest__201101241434.wav,9.0
a,Aunlabelledtest__201102081033.wav,Aunlabelledtest,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/Aunlabelledtest__201102081033.wav,7.128140589569161
a,Aunlabelledtest__201102081045.wav,Aunlabelledtest,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/Aunlabelledtest__201102081045.wav,8.615600907029478
a,Aunlabelledtest__201102200848.wav,Aunlabelledtest,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/Aunlabelledtest__201102200848.wav,7.9721541950113375
a,Aunlabelledtest__201103011036.wav,Aunlabelledtest,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/Aunlabelledtest__201103011036.wav,9.0
a,Aunlabelledtest__201103140236.wav,Aunlabelledtest,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/Aunlabelledtest__201103140236.wav,9.0
a,Aunlabelledtest__201103170122.wav,Aunlabelledtest,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/Aunlabelledtest__201103170122.wav,8.615600907029478
a,Aunlabelledtest__201103200518.wav,Aunlabelledtest,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/Aunlabelledtest__201103200518.wav,8.56546485260771
a,Aunlabelledtest__201103201314.wav,Aunlabelledtest,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/Aunlabelledtest__201103201314.wav,1.754875283446712
a,Aunlabelledtest__201103232251.wav,Aunlabelledtest,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/Aunlabelledtest__201103232251.wav,9.0
a,Aunlabelledtest__201103241336.wav,Aunlabelledtest,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/Aunlabelledtest__201103241336.wav,7.921995464852608
a,Aunlabelledtest__201104012144.wav,Aunlabelledtest,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/Aunlabelledtest__201104012144.wav,5.711519274376418
a,Aunlabelledtest__2011040239.wav,Aunlabelledtest,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/Aunlabelledtest__2011040239.wav,3.8702494331065758
a,Aunlabelledtest__201105011546.wav,Aunlabelledtest,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/Aunlabelledtest__201105011546.wav,9.0
a,Aunlabelledtest__20110501548.wav,Aunlabelledtest,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/Aunlabelledtest__20110501548.wav,9.0
a,Aunlabelledtest__201105031730.wav,Aunlabelledtest,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/Aunlabelledtest__201105031730.wav,7.587732426303855
a,Aunlabelledtest__201106010807.wav,Aunlabelledtest,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/Aunlabelledtest__201106010807.wav,9.0
a,Aunlabelledtest__201106030607.wav,Aunlabelledtest,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/Aunlabelledtest__201106030607.wav,9.0
a,Aunlabelledtest__201106031556.wav,Aunlabelledtest,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/Aunlabelledtest__201106031556.wav,9.0
a,Aunlabelledtest__201106040930.wav,Aunlabelledtest,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/Aunlabelledtest__201106040930.wav,9.0
a,Aunlabelledtest__201106061104.wav,Aunlabelledtest,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/Aunlabelledtest__201106061104.wav,9.0
a,Aunlabelledtest__201106061215.wav,Aunlabelledtest,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/Aunlabelledtest__201106061215.wav,9.0
a,Aunlabelledtest__201106100606.wav,Aunlabelledtest,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/Aunlabelledtest__201106100606.wav,9.0
a,Aunlabelledtest__201106111419.wav,Aunlabelledtest,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/Aunlabelledtest__201106111419.wav,9.0
a,Aunlabelledtest__201106120928.wav,Aunlabelledtest,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/Aunlabelledtest__201106120928.wav,9.0
a,Aunlabelledtest__201106130440.wav,Aunlabelledtest,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/Aunlabelledtest__201106130440.wav,9.0
a,Aunlabelledtest__201106150614.wav,Aunlabelledtest,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/Aunlabelledtest__201106150614.wav,9.0
a,Aunlabelledtest__201106170857.wav,Aunlabelledtest,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/Aunlabelledtest__201106170857.wav,9.0
a,Aunlabelledtest__201106171155.wav,Aunlabelledtest,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/Aunlabelledtest__201106171155.wav,9.0
a,Aunlabelledtest__201106191034.wav,Aunlabelledtest,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/Aunlabelledtest__201106191034.wav,9.0
a,Aunlabelledtest__201106211725.wav,Aunlabelledtest,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/Aunlabelledtest__201106211725.wav,6.526462585034014
a,Aunlabelledtest__201106212102.wav,Aunlabelledtest,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/Aunlabelledtest__201106212102.wav,9.0
a,Aunlabelledtest__201108011111.wav,Aunlabelledtest,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/Aunlabelledtest__201108011111.wav,7.935555555555555
a,Aunlabelledtest__201108011113.wav,Aunlabelledtest,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/Aunlabelledtest__201108011113.wav,7.935555555555555
a,Aunlabelledtest__201108011116.wav,Aunlabelledtest,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/Aunlabelledtest__201108011116.wav,7.935555555555555
a,Aunlabelledtest__201108011117.wav,Aunlabelledtest,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/Aunlabelledtest__201108011117.wav,7.935555555555555
a,Aunlabelledtest__201108222222.wav,Aunlabelledtest,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/Aunlabelledtest__201108222222.wav,7.935555555555555
a,Aunlabelledtest__201108222225.wav,Aunlabelledtest,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/Aunlabelledtest__201108222225.wav,7.935555555555555
a,Aunlabelledtest__201108222228.wav,Aunlabelledtest,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/Aunlabelledtest__201108222228.wav,7.935555555555555
a,Aunlabelledtest__201108222234.wav,Aunlabelledtest,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/Aunlabelledtest__201108222234.wav,7.935555555555555
a,Aunlabelledtest__201108222241.wav,Aunlabelledtest,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/Aunlabelledtest__201108222241.wav,7.935555555555555
a,Aunlabelledtest__201108222244.wav,Aunlabelledtest,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/Aunlabelledtest__201108222244.wav,7.935555555555555
a,Aunlabelledtest__201108222247.wav,Aunlabelledtest,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/Aunlabelledtest__201108222247.wav,7.935555555555555
a,Aunlabelledtest__201108222254.wav,Aunlabelledtest,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/Aunlabelledtest__201108222254.wav,7.935555555555555
a,Aunlabelledtest__201108222257.wav,Aunlabelledtest,,A,,/home/agiuser/FypProj/data/raw/DataSet1/set_a/Aunlabelledtest__201108222257.wav,7.935555555555555
b,extrastole__127_1306764300147_C2.wav,extrastole,,B,,/home/agiuser/FypProj/data/raw/DataSet1/set_b/extrastole__127_1306764300147_C2.wav,4.676
b,extrastole__128_1306344005749_A.wav,extrastole,,B,,/home/agiuser/FypProj/data/raw/DataSet1/set_b/extrastole__128_1306344005749_A.wav,9.2365
b,extrastole__130_1306347376079_D.wav,extrastole,,B,,/home/agiuser/FypProj/data/raw/DataSet1/set_b/extrastole__130_1306347376079_D.wav,4.00275
b,extrastole__134_1306428161797_C1.wav,extrastole,,B,,/home/agiuser/FypProj/data/raw/DataSet1/set_b/extrastole__134_1306428161797_C1.wav,2.56125
b,extrastole__138_1306762146980_B.wav,extrastole,,B,,/home/agiuser/FypProj/data/raw/DataSet1/set_b/extrastole__138_1306762146980_B.wav,8.10375
b,extrastole__140_1306519735121_D.wav,extrastole,,B,,/home/agiuser/FypProj/data/raw/DataSet1/set_b/extrastole__140_1306519735121_D.wav,5.98175
b,extrastole__144_1306522408528_B.wav,extrastole,,B,,/home/agiuser/FypProj/data/raw/DataSet1/set_b/extrastole__144_1306522408528_B.wav,5.33825
b,extrastole__144_1306522408528_B1.wav,extrastole,,B,,/home/agiuser/FypProj/data/raw/DataSet1/set_b/extrastole__144_1306522408528_B1.wav,3.349
b,extrastole__148_1306768801551_B.wav,extrastole,,B,,/home/agiuser/FypProj/data/raw/DataSet1/set_b/extrastole__148_1306768801551_B.wav,3.99875
b,extrastole__151_1306779785624_B.wav,extrastole,,B,,/home/agiuser/FypProj/data/raw/DataSet1/set_b/extrastole__151_1306779785624_B.wav,11.30825
b,extrastole__153_1306848820671_C.wav,extrastole,,B,,/home/agiuser/FypProj/data/raw/DataSet1/set_b/extrastole__153_1306848820671_C.wav,6.464
b,extrastole__154_1306935608852_D2.wav,extrastole,,B,,/home/agiuser/FypProj/data/raw/DataSet1/set_b/extrastole__154_1306935608852_D2.wav,2.39325
